Comment,Designator,Footprint,JLCPCB Part #（optional）
0.1uF,"C2,C1",C_0402_1005Metric,C6955083
300,"R3,R2",R_0603_1608Metric,C23025
120,R1,R_0402_1005Metric,C25140
Red,D1,LED_0805_1005Metric,C84256
Green,D2,LED_0805_1005Metric,C84264
15pF,"C4,C5",C_0402_1005Metric,C387970
32.768kHz,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,C90943
SW,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C7527751
ATtiny1616-M,U3,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C507118
MAX485E,U1,SOIC-8_3.9x4.9mm_P1.27mm,C481667
3.3uF,C3,C_1210_3225Metric,C397310
